2025-06-04T09:41:00.606Z,healthy,596
2025-06-04T09:42:00.054Z,healthy,46
2025-06-04T09:43:00.048Z,healthy,26
2025-06-04T09:44:00.038Z,healthy,27
2025-06-04T09:45:00.051Z,healthy,25
2025-06-04T09:46:00.043Z,healthy,27
2025-06-04T09:47:00.045Z,healthy,26
2025-06-04T09:48:00.037Z,healthy,25
2025-06-04T09:49:00.073Z,healthy,64
2025-06-04T09:50:00.054Z,healthy,52
2025-06-04T09:51:00.034Z,healthy,20
2025-06-04T10:38:00.815Z,healthy,807
2025-06-04T10:39:00.406Z,healthy,389
2025-06-04T10:40:00.108Z,healthy,105
2025-06-04T10:41:00.048Z,healthy,35
2025-06-04T10:42:00.043Z,healthy,39
2025-06-04T10:43:00.068Z,healthy,38
2025-06-04T10:44:00.034Z,healthy,32
2025-06-04T10:45:00.052Z,healthy,35
2025-06-04T10:46:00.039Z,healthy,31
2025-06-04T10:47:00.036Z,healthy,33
2025-06-04T10:48:00.535Z,healthy,531
2025-06-04T10:49:00.043Z,healthy,37
2025-06-04T10:50:00.038Z,healthy,32
2025-06-04T10:51:00.039Z,healthy,31
2025-06-04T10:52:00.074Z,healthy,56
2025-06-04T10:53:00.045Z,healthy,34
2025-06-04T10:54:00.037Z,healthy,32
2025-06-04T10:55:00.056Z,healthy,31
2025-06-04T10:56:00.043Z,healthy,42
2025-06-04T10:57:00.040Z,healthy,36
2025-06-04T10:58:00.074Z,healthy,69
2025-06-04T10:59:00.038Z,healthy,33
2025-06-04T11:00:00.031Z,healthy,30
2025-06-04T11:01:02.769Z,healthy,2762
2025-06-04T11:02:00.043Z,healthy,38
2025-06-04T11:03:05.026Z,unhealthy,5008
2025-06-04T11:04:00.417Z,healthy,412
2025-06-04T11:05:05.037Z,unhealthy,5014
2025-06-04T11:06:05.004Z,unhealthy,5003
2025-06-04T11:07:05.009Z,unhealthy,5002
2025-06-04T11:08:05.012Z,unhealthy,5006
2025-06-04T11:09:05.012Z,unhealthy,5002
2025-06-04T11:10:05.011Z,unhealthy,5005
2025-06-04T11:11:05.015Z,unhealthy,5006
2025-06-04T11:12:05.009Z,unhealthy,5003
2025-06-04T11:13:05.009Z,unhealthy,5004
2025-06-04T11:14:05.014Z,unhealthy,5004
2025-06-04T11:15:05.006Z,unhealthy,5003
2025-06-04T11:16:05.032Z,unhealthy,5018
2025-06-04T11:17:05.024Z,unhealthy,5006
2025-06-04T11:18:05.024Z,unhealthy,5011
2025-06-04T11:19:05.006Z,unhealthy,5002
2025-06-04T11:20:05.017Z,unhealthy,5012
2025-06-04T11:34:20.503Z,unhealthy,5009
2025-06-04T11:35:05.025Z,unhealthy,5010
2025-06-04T11:36:05.013Z,unhealthy,5006
2025-06-04T11:37:05.015Z,unhealthy,5001
2025-06-04T11:38:05.007Z,unhealthy,5006
2025-06-04T11:39:00.051Z,healthy,44
2025-06-04T11:40:00.048Z,healthy,36
2025-06-04T11:41:00.060Z,healthy,56
2025-06-04T11:42:00.069Z,healthy,55
2025-06-04T11:43:00.050Z,healthy,41
